portfolio_id,user_id,project_title,video_url,role_played,thumbnail_url
prt-0001,usr-0016,GlowUp Beauty Summer LIVE — TikTok Shop,vimeo.com/mc/glowup-summer-live,Lead Director,cdn.platform.io/thumb/prt-0001.jpg
prt-0002,usr-0016,TechNest Flagship Unboxing Series — TikTok,vimeo.com/mc/technest-unboxing,Director / DoP,cdn.platform.io/thumb/prt-0002.jpg
prt-0003,usr-0017,Bloom Wellness Morning Routine Series,vimeo.com/ar/bloom-routine,Main Director,cdn.platform.io/thumb/prt-0003.jpg
prt-0004,usr-0017,NYX Cosmetics Try-On Haul — TikTok Shop,youtube.com/watch?v=nyx-haul-2024,Creative Director,cdn.platform.io/thumb/prt-0004.jpg
prt-0005,usr-0018,Samsung Galaxy S25 — TikTok Shop Launch,vimeo.com/js/samsung-s25-launch,Director / DoP,cdn.platform.io/thumb/prt-0005.jpg
prt-0006,usr-0019,StyleForward Spring Lookbook — TikTok,vimeo.com/tb/styleforward-spring,Main Director,cdn.platform.io/thumb/prt-0006.jpg
prt-0007,usr-0019,ActiveEdge Activewear Try-On — TikTok Shop,vimeo.com/tb/activeedge-tryon,Lead Director,cdn.platform.io/thumb/prt-0007.jpg
prt-0008,usr-0020,FreshFit Supplement Routine — TikTok LIVE,vimeo.com/ml/freshfit-live,LIVE Director,cdn.platform.io/thumb/prt-0008.jpg
prt-0009,usr-0021,Nourish Kitchen Gadget Review — TikTok,vimeo.com/nh/nourish-gadgets,Director,cdn.platform.io/thumb/prt-0009.jpg
prt-0010,usr-0022,FitLife Activewear Campaign — TikTok Shop,vimeo.com/zt/fitlife-campaign,Creative Director,cdn.platform.io/thumb/prt-0010.jpg
prt-0011,usr-0023,CeraVe Full Skincare Routine Review,tiktok.com/@shopwithsarah/v001,Content Creator,cdn.platform.io/thumb/prt-0011.jpg
prt-0012,usr-0023,Spring Beauty Haul — 20+ Products TikTok Shop,tiktok.com/@shopwithsarah/v002,Content Creator,cdn.platform.io/thumb/prt-0012.jpg
prt-0013,usr-0024,Maybelline Sky High Mascara Review — TikTok,tiktok.com/@beautybyalex/v003,Content Creator,cdn.platform.io/thumb/prt-0013.jpg
prt-0014,usr-0024,$200 TikTok Shop Beauty Haul — Worth It?,tiktok.com/@beautybyalex/v004,Content Creator,cdn.platform.io/thumb/prt-0014.jpg
prt-0015,usr-0025,Samsung Galaxy S25 Ultra Unboxing — TikTok,tiktok.com/@techmike/v005,Content Creator,cdn.platform.io/thumb/prt-0015.jpg
prt-0016,usr-0025,Top 10 TikTok Shop Tech Gadgets Under $50,tiktok.com/@techmike/v006,Content Creator,cdn.platform.io/thumb/prt-0016.jpg
prt-0017,usr-0026,The Ordinary Full Routine — AM & PM,tiktok.com/@glowgetternina/v007,Content Creator,cdn.platform.io/thumb/prt-0017.jpg
prt-0018,usr-0026,Affordable Dupe vs. Luxury Skincare — TikTok,tiktok.com/@glowgetternina/v008,Content Creator,cdn.platform.io/thumb/prt-0018.jpg
prt-0019,usr-0027,FreshFit Pre-Workout Review — TikTok Shop,tiktok.com/@fitlifejess/v009,Content Creator,cdn.platform.io/thumb/prt-0019.jpg
prt-0020,usr-0028,Amazon vs. TikTok Shop Home Decor Haul,tiktok.com/@homewithkate/v010,Content Creator,cdn.platform.io/thumb/prt-0020.jpg
prt-0021,usr-0028,Room Transformation Using Only TikTok Shop,tiktok.com/@homewithkate/v011,Content Creator,cdn.platform.io/thumb/prt-0021.jpg
prt-0022,usr-0069,20-Min Meal Prep with TikTok Shop Kitchen Tools,tiktok.com/@foodiewithdan/v012,Content Creator,cdn.platform.io/thumb/prt-0022.jpg
prt-0023,usr-0070,Retinol Skincare Routine — Dermatologist Approved,tiktok.com/@skincaremia/v013,Content Creator,cdn.platform.io/thumb/prt-0023.jpg
prt-0024,usr-0073,NYC Fashion Week Inspired TikTok Shop Outfit,tiktok.com/@stylequeenrachel/v014,Content Creator,cdn.platform.io/thumb/prt-0024.jpg
prt-0025,usr-0074,iPhone 17 vs. Android — TikTok Shop Bundle Deal,tiktok.com/@techtalkpriya/v015,Content Creator,cdn.platform.io/thumb/prt-0025.jpg
prt-0026,usr-0082,My Morning & Night Routine — TikTok Shop Faves,tiktok.com/@lifestylebylauren/v016,Content Creator,cdn.platform.io/thumb/prt-0026.jpg
prt-0027,usr-0084,Best TikTok Shop Baby Gear — Mom Review,tiktok.com/@momlifemaggie/v017,Content Creator,cdn.platform.io/thumb/prt-0027.jpg
prt-0028,usr-0086,My Dog's Favorite TikTok Shop Toys — Honest Review,tiktok.com/@petmombella/v018,Content Creator,cdn.platform.io/thumb/prt-0028.jpg
prt-0029,usr-0087,Best TikTok Shop Gaming Setup Under $300,tiktok.com/@gaminggeargus/v019,Content Creator,cdn.platform.io/thumb/prt-0029.jpg
prt-0030,usr-0089,Minimalist Travel Packing — TikTok Shop Essentials,tiktok.com/@traveltechTom/v020,Content Creator,cdn.platform.io/thumb/prt-0030.jpg
