kol_id,user_id,stage_name,bio,main_niche,target_demographic_age,booking_fee_estimate
kol-0001,usr-0023,@ShopWithSarah,Lifestyle & shopping creator; TikTok Shop Top Affiliate 2024. Drives viral hauls.,Lifestyle,25-34,"$3,500.00"
kol-0002,usr-0024,@BeautyByAlex,"Beauty & skincare influencer known for honest, viral product reviews on TikTok Shop.",Beauty,18-34,"$2,800.00"
kol-0003,usr-0025,@TechMikeReviews,Consumer tech reviewer & TikTok Shop gadget affiliate. 1M+ followers.,Tech,18-34,"$2,200.00"
kol-0004,usr-0026,@GlowGetterNina,Skincare-obsessed creator sharing routines and TikTok Shop hauls daily.,Skincare,18-24,"$1,800.00"
kol-0005,usr-0027,@FitLifeJess,Fitness & wellness creator promoting healthy living and activewear on TikTok Shop.,Fitness,25-34,"$2,500.00"
kol-0006,usr-0028,@HomeWithKate,Home décor & organization creator; TikTok Shop top affiliate in Home & Living.,Home Decor,25-44,"$1,600.00"
kol-0007,usr-0029,@FashionFwdTyler,Men's fashion creator focused on affordable TikTok Shop style finds.,Fashion,18-34,"$2,100.00"
kol-0008,usr-0069,@FoodieWithDan,Food & cooking creator reviewing kitchen gadgets and grocery hauls on TikTok Shop.,Food,25-44,"$1,400.00"
kol-0009,usr-0070,@SkincareMia,Dermatologist-backed skincare creator; trusted TikTok Shop beauty affiliate.,Skincare,25-34,"$3,200.00"
kol-0010,usr-0071,@GadgetGuruJake,Unboxing & tech review creator; known for TikTok Shop gadget hauls.,Tech,18-34,"$1,900.00"
kol-0011,usr-0072,@WellnessWithCora,"Holistic wellness creator covering supplements, yoga, and healthy living on TikTok.",Wellness,25-44,"$2,000.00"
kol-0012,usr-0073,@StyleQueenRachel,Women's fashion & beauty creator; TikTok Shop haul queen with 2M+ followers.,Fashion,18-34,"$4,500.00"
kol-0013,usr-0074,@TechTalkPriya,"Female tech creator covering smartphones, tablets, and TikTok Shop electronics.",Tech,18-34,"$2,600.00"
kol-0014,usr-0075,@BeautyHaulsEmma,Drugstore & premium beauty haul creator; TikTok Shop affiliate since 2023.,Beauty,18-24,"$1,700.00"
kol-0015,usr-0076,@FitWithMarco,Male fitness & nutrition creator; supplements and activewear affiliate on TikTok.,Fitness,18-34,"$2,300.00"
kol-0016,usr-0077,@HomeInspoLily,Interior design & home décor creator; TikTok Shop home affiliate with aesthetic feed.,Home Decor,25-44,"$1,500.00"
kol-0017,usr-0078,@FashionFindsOscar,Budget fashion & thrift finds creator; viral TikTok Shop try-on hauls.,Fashion,18-24,"$1,200.00"
kol-0018,usr-0079,@CleanEatsTara,Healthy eating & food prep creator; TikTok Shop kitchen gadget affiliate.,Food,25-34,"$1,600.00"
kol-0019,usr-0080,@GlowRoutineAbi,Morning and night skincare routine creator; TikTok Shop beauty affiliate.,Skincare,18-24,"$1,400.00"
kol-0020,usr-0081,@BytesByCam,Everyday tech & productivity creator; TikTok Shop tech accessories affiliate.,Tech,18-34,"$1,800.00"
kol-0021,usr-0082,@LifestyleByLauren,"Aspirational lifestyle creator; TikTok Shop beauty, fashion, and home affiliate.",Lifestyle,25-34,"$5,500.00"
kol-0022,usr-0083,@SkincareNerdDev,Science-based skincare creator; lab-tested product reviews for TikTok Shop.,Skincare,25-34,"$2,900.00"
kol-0023,usr-0084,@MomLifeMaggie,"Mom & family lifestyle creator; TikTok Shop baby, kids, and home affiliate.",Baby & Kids,25-44,"$1,900.00"
kol-0024,usr-0085,@GymRatRyan,Weightlifting & fitness creator; TikTok Shop supplements and gym gear affiliate.,Fitness,18-34,"$2,200.00"
kol-0025,usr-0086,@PetMomBella,Dog & cat lifestyle creator; TikTok Shop pet care and accessories affiliate.,Pet,25-44,"$1,300.00"
kol-0026,usr-0087,@GamingGearGus,PC gaming & peripherals creator; TikTok Shop gaming accessories affiliate.,Gaming,13-24,"$2,400.00"
kol-0027,usr-0088,@CookingWithChloe,Recipe & cooking video creator; TikTok Shop kitchen tools and grocery affiliate.,Food,25-44,"$1,700.00"
kol-0028,usr-0089,@TravelTechTom,"Travel & tech creator; TikTok Shop luggage, gadgets, and travel accessories affiliate.",Travel Tech,25-44,"$2,800.00"
kol-0029,usr-0090,@DormDecorDiana,College & dorm room décor creator; TikTok Shop home and student lifestyle affiliate.,Home Decor,18-24,"$1,100.00"
kol-0030,usr-0091,@WorkwearWendy,Corporate & workwear fashion creator; professional style finds on TikTok Shop.,Workwear,25-44,"$1,800.00"
